dataset,method,degree,bias,proj,comp,comp_real,craft,full_cov,hier,kernel_var,kernel_len,test_error,test_mnll,test_label_var,k_frob_error,k_rel_frob_error,k_spec_error,k_rel_spec_error,test_kl,test_mean_mse,test_var_mse,D,E,feature_dist,noise_var,feature_time,pred_time,seed
cifar10_conv,srf,7.0,0.5,gaussian,0.0,0.0,0.0,0.0,0.0,9.030274391174316,1.4142135381698608,0.17383332550525665,0.5374577045440674,0.08999998867511749,2618.17529296875,0.22615382075309753,1098.537109375,0.09760525822639465,8060.98828125,4.430155277252197,7.509422779083252,256.0,32768.0,None,0.001,0.016788482666015625,0.03972220420837402,0.0
cifar10_conv,poly_sketch,7.0,0.5,gaussian,0.0,0.0,0.0,0.0,0.0,9.030274391174316,1.4142135381698608,0.31833332777023315,1.054434895515442,0.08999998867511749,61120.99609375,5.279534339904785,60555.74609375,5.3803911209106445,13572.775390625,8.245954513549805,8.10137939453125,256.0,32768.0,None,0.001,0.04233121871948242,0.03597879409790039,0.0
cifar10_conv,poly_sketch,7.0,0.5,gaussian,0.0,1.0,0.0,0.0,0.0,9.030274391174316,1.4142135381698608,0.2211666703224182,0.6731510162353516,0.08999998867511749,6794.18017578125,0.5868704915046692,3425.919677734375,0.3043937087059021,10018.1201171875,5.78147029876709,7.785671234130859,256.0,32768.0,None,0.001,0.07745981216430664,0.03673291206359863,0.0
cifar10_conv,poly_sketch,7.0,0.5,rademacher,0.0,0.0,0.0,0.0,0.0,9.030274391174316,1.4142135381698608,0.24783332645893097,0.7664774656295776,0.08999998867511749,41901.1640625,3.6193559169769287,41214.83203125,3.6619467735290527,11216.1474609375,6.74526834487915,7.83519983291626,256.0,32768.0,None,0.001,0.04197335243225098,0.036087751388549805,0.0
cifar10_conv,poly_sketch,7.0,0.5,rademacher,0.0,1.0,0.0,0.0,0.0,9.030274391174316,1.4142135381698608,0.19749999046325684,0.6155907511711121,0.08999998867511749,5449.8720703125,0.4707512855529785,2735.029296875,0.24300794303417206,9429.142578125,5.410623073577881,7.683711528778076,256.0,32768.0,None,0.001,0.07796955108642578,0.03598213195800781,0.0
cifar10_conv,poly_sketch,7.0,0.5,srht,0.0,0.0,0.0,1.0,0.0,9.030274391174316,1.4142135381698608,0.24283333122730255,0.7672377824783325,0.08999998867511749,46053.4921875,3.978027582168579,44511.26171875,3.9548351764678955,11564.5263671875,6.987453460693359,7.894618511199951,256.0,32768.0,None,0.001,0.033657073974609375,0.03616666793823242,0.0
cifar10_conv,poly_sketch,7.0,0.5,srht,0.0,1.0,0.0,1.0,0.0,9.030274391174316,1.4142135381698608,0.19616666436195374,0.6101221442222595,0.08999998867511749,7999.9892578125,0.6910263895988464,5525.38671875,0.49093180894851685,9573.322265625,5.450782299041748,7.713221073150635,256.0,32768.0,None,0.001,0.09564065933227539,0.035804033279418945,0.0
cifar10_conv,poly_sketch,7.0,0.5,countsketch_scatter,0.0,0.0,0.0,0.0,0.0,9.030274391174316,1.4142135381698608,0.19499999284744263,0.5976683497428894,0.08999998867511749,5690.90625,0.49157142639160156,3870.37646484375,0.34388378262519836,9391.6533203125,5.375183582305908,7.6730241775512695,256.0,32768.0,None,0.001,0.0406496524810791,0.03549075126647949,0.0
cifar10_conv,poly_sketch,7.0,0.5,srht,0.0,0.0,1.0,1.0,0.0,9.030274391174316,1.4142135381698608,0.1666666716337204,0.5030794143676758,0.08999998867511749,3676.30224609375,0.3175531327724457,2526.2333984375,0.22445638477802277,7963.25634765625,4.310642242431641,7.504697322845459,256.0,32768.0,None,0.001,0.8241286277770996,0.04140210151672363,0.0
cifar10_conv,poly_sketch,7.0,0.5,srht,0.0,1.0,1.0,1.0,0.0,9.030274391174316,1.4142135381698608,0.16216666996479034,0.5129960179328918,0.08999998867511749,2796.071533203125,0.2415202111005783,1371.9752197265625,0.1219002977013588,7838.66748046875,4.14628791809082,7.508312225341797,256.0,32768.0,None,0.001,0.8684206008911133,0.04134559631347656,0.0
