seed,N,D,num_clusters,lengthscale_mult,lengthscale,kernel_var,noise_var,method,proj,ctr,feature_dist,rmse,test_kl,test_mnll,test_mean_mse,test_var_mse
0.0,10000.0,100.0,1722.0,0.125,0.24899521470069885,0.5055618286132812,0.20189648866653442,rff,gaussian,0.0,None,0.49531587958335876,1294.122802734375,0.7254045605659485,0.03760156035423279,0.00014557293616235256
0.0,10000.0,100.0,1722.0,0.125,0.24899521470069885,0.5055618286132812,0.20189648866653442,maclaurin,rademacher,0.0,"[3, 5, 7, 10, 14, 23, 37]",0.47850486636161804,745.7235107421875,0.6853416562080383,0.021490540355443954,2.194311673520133e-05
0.0,10000.0,100.0,1722.0,0.125,0.24899521470069885,0.5055618286132812,0.20189648866653442,maclaurin,rademacher,1.0,"[2, 4, 5, 6, 7, 10, 15]",0.4751739799976349,614.88330078125,0.6765027642250061,0.017835956066846848,1.5215218809316866e-06
0.0,10000.0,100.0,1722.0,0.125,0.24899521470069885,0.5055618286132812,0.20189648866653442,maclaurin,srht,0.0,"[2, 5, 6, 10, 15, 23, 38]",0.4728042185306549,580.6541137695312,0.6715362071990967,0.016718808561563492,3.6207163702783873e-06
0.0,10000.0,100.0,1722.0,0.125,0.24899521470069885,0.5055618286132812,0.20189648866653442,maclaurin,srht,1.0,"[2, 4, 4, 6, 7, 11, 15]",0.48190829157829285,798.7500610351562,0.6923708319664001,0.023124704137444496,3.000503966177348e-06
0.0,10000.0,100.0,925.0,0.25,0.24899521470069885,0.5055618286132812,0.20189648866653442,rff,gaussian,0.0,None,0.4926711618900299,1300.14013671875,0.7195103764533997,0.03729456663131714,0.00014399584324564785
0.0,10000.0,100.0,925.0,0.25,0.24899521470069885,0.5055618286132812,0.20189648866653442,maclaurin,rademacher,0.0,"[3, 5, 7, 10, 14, 23, 37]",0.4650326371192932,422.0753173828125,0.6544221639633179,0.011989301070570946,2.1989849301462527e-06
0.0,10000.0,100.0,925.0,0.25,0.24899521470069885,0.5055618286132812,0.20189648866653442,maclaurin,rademacher,1.0,"[2, 4, 5, 6, 7, 10, 15]",0.491781085729599,1001.7516479492188,0.7170852422714233,0.028471186757087708,2.707519342948217e-05
0.0,10000.0,100.0,925.0,0.25,0.24899521470069885,0.5055618286132812,0.20189648866653442,maclaurin,srht,0.0,"[2, 5, 6, 10, 15, 23, 38]",0.47501087188720703,567.748046875,0.6766884922981262,0.016394400969147682,2.3687039174546953e-06
0.0,10000.0,100.0,925.0,0.25,0.24899521470069885,0.5055618286132812,0.20189648866653442,maclaurin,srht,1.0,"[2, 4, 4, 6, 7, 11, 15]",0.47618919610977173,728.0157470703125,0.6796156167984009,0.020955922082066536,1.6840234593473724e-06
0.0,10000.0,100.0,466.0,0.5,0.24899521470069885,0.5055618286132812,0.20189648866653442,rff,gaussian,0.0,None,0.48936936259269714,1147.0693359375,0.7109887599945068,0.033730555325746536,0.00014670426025986671
0.0,10000.0,100.0,466.0,0.5,0.24899521470069885,0.5055618286132812,0.20189648866653442,maclaurin,rademacher,0.0,"[3, 5, 7, 10, 14, 23, 37]",0.48067229986190796,820.673583984375,0.6898698806762695,0.023690661415457726,7.211658612504834e-06
0.0,10000.0,100.0,466.0,0.5,0.24899521470069885,0.5055618286132812,0.20189648866653442,maclaurin,rademacher,1.0,"[2, 4, 5, 6, 7, 10, 15]",0.48690056800842285,978.841796875,0.7046539187431335,0.02811833843588829,1.2632743164431304e-05
0.0,10000.0,100.0,466.0,0.5,0.24899521470069885,0.5055618286132812,0.20189648866653442,maclaurin,srht,0.0,"[2, 5, 6, 10, 15, 23, 38]",0.472587525844574,565.2614135742188,0.6714518666267395,0.01616385206580162,2.6164050268562278e-06
0.0,10000.0,100.0,466.0,0.5,0.24899521470069885,0.5055618286132812,0.20189648866653442,maclaurin,srht,1.0,"[2, 4, 4, 6, 7, 11, 15]",0.481531023979187,805.786376953125,0.6915968060493469,0.02340416982769966,8.559069101465866e-06
0.0,10000.0,100.0,172.0,1.0,0.24899521470069885,0.5055618286132812,0.20189648866653442,rff,gaussian,0.0,None,0.4896552860736847,1107.43408203125,0.7121450304985046,0.03173768147826195,0.00014099132386036217
0.0,10000.0,100.0,172.0,1.0,0.24899521470069885,0.5055618286132812,0.20189648866653442,maclaurin,rademacher,0.0,"[3, 5, 7, 10, 14, 23, 37]",0.4820796847343445,852.4060668945312,0.692905068397522,0.024492045864462852,1.0758440112113021e-05
