D,complex_weights,feature_dist,method,proj,rmse,seed,test_kl,test_mean_mse,test_mnll,test_var_mse
10.0,1.0,None,rff,gaussian,0.5592852234840393,0.0,3113.224853515625,0.11076860129833221,0.8530492782592773,0.0002671000547707081
10.0,1.0,"[1, 1, 1, 1, 1, 2, 2]",maclaurin,rademacher,0.5158208012580872,0.0,1749.265380859375,0.06190555915236473,0.7581951022148132,0.00017017296340782195
50.0,1.0,None,rff,gaussian,0.5056065320968628,0.0,1516.5799560546875,0.054789889603853226,0.7369898557662964,0.00023602801957167685
50.0,1.0,"[3, 3, 3, 5, 7, 11, 17]",maclaurin,rademacher,0.46747806668281555,0.0,481.22991943359375,0.017517415806651115,0.664132833480835,9.19753874768503e-05
100.0,1.0,None,rff,gaussian,0.48514190316200256,0.0,881.2613525390625,0.03195995092391968,0.6958855390548706,0.0001809998939279467
100.0,1.0,"[5, 6, 7, 10, 15, 22, 34]",maclaurin,rademacher,0.4635162353515625,0.0,378.2672119140625,0.01394604705274105,0.6566416025161743,9.724576375447214e-05
200.0,1.0,None,rff,gaussian,0.46896958351135254,0.0,483.8232727050781,0.017152855172753334,0.6656211018562317,0.00011874665506184101
200.0,1.0,"[11, 11, 14, 20, 29, 45, 69]",maclaurin,rademacher,0.46052929759025574,0.0,381.5614013671875,0.013982062228024006,0.6514225602149963,7.524892134824768e-05
300.0,1.0,None,rff,gaussian,0.46574145555496216,0.0,384.750244140625,0.013443270698189735,0.6600960493087769,8.250634709838778e-05
300.0,1.0,"[16, 17, 21, 30, 44, 68, 103]",maclaurin,rademacher,0.46577930450439453,0.0,445.71075439453125,0.01652693934738636,0.6610497236251831,9.602146747056395e-05
10.0,1.0,None,rff,gaussian,0.5692979097366333,1.0,3357.409912109375,0.11940047144889832,0.8759113550186157,0.00026675997651182115
10.0,1.0,"[1, 1, 1, 1, 1, 2, 2]",maclaurin,rademacher,0.5099512934684753,1.0,1488.1051025390625,0.05272490531206131,0.7467459440231323,0.00014701268810313195
